clip, seizure, early 
Dog_1_test_segment_1.mat, -1, 0 
Dog_1_test_segment_2.mat, -1, 0 
Dog_1_test_segment_3.mat, -1, 0 
Dog_1_test_segment_4.mat, 1, 0 
Dog_1_test_segment_5.mat, -1, 0 
Dog_1_test_segment_6.mat, -1, 0 
Dog_1_test_segment_7.mat, -1, 0 
Dog_1_test_segment_8.mat, -1, 0 
Dog_1_test_segment_9.mat, -1, 0 
Dog_1_test_segment_10.mat, -1, 0 
Dog_1_test_segment_11.mat, -1, 0 
Dog_1_test_segment_12.mat, 1, 0 
Dog_1_test_segment_13.mat, -1, 0 
Dog_1_test_segment_14.mat, -1, 0 
Dog_1_test_segment_15.mat, -1, 0 
Dog_1_test_segment_16.mat, -1, 0 
Dog_1_test_segment_17.mat, -1, 0 
Dog_1_test_segment_18.mat, -1, 0 
Dog_1_test_segment_19.mat, -1, 0 
Dog_1_test_segment_20.mat, -1, 0 
Dog_1_test_segment_21.mat, -1, 0 
Dog_1_test_segment_22.mat, -1, 0 
Dog_1_test_segment_23.mat, -1, 0 
Dog_1_test_segment_24.mat, 1, 0 
Dog_1_test_segment_25.mat, -1, 0 
Dog_1_test_segment_26.mat, -1, 0 
Dog_1_test_segment_27.mat, -1, 0 
Dog_1_test_segment_28.mat, -1, 0 
Dog_1_test_segment_29.mat, -1, 0 
Dog_1_test_segment_30.mat, -1, 0 
Dog_1_test_segment_31.mat, -1, 0 
Dog_1_test_segment_32.mat, -1, 0 
Dog_1_test_segment_33.mat, -1, 0 
Dog_1_test_segment_34.mat, -1, 0 
Dog_1_test_segment_35.mat, -1, 0 
Dog_1_test_segment_36.mat, -1, 0 
Dog_1_test_segment_37.mat, -1, 0 
Dog_1_test_segment_38.mat, -1, 0 
Dog_1_test_segment_39.mat, -1, 0 
Dog_1_test_segment_40.mat, -1, 0 
Dog_1_test_segment_41.mat, -1, 0 
Dog_1_test_segment_42.mat, -1, 0 
Dog_1_test_segment_43.mat, -1, 0 
Dog_1_test_segment_44.mat, -1, 0 
Dog_1_test_segment_45.mat, -1, 0 
Dog_1_test_segment_46.mat, -1, 0 
Dog_1_test_segment_47.mat, -1, 0 
Dog_1_test_segment_48.mat, -1, 0 
Dog_1_test_segment_49.mat, -1, 0 
Dog_1_test_segment_50.mat, -1, 0 
Dog_1_test_segment_51.mat, -1, 0 
Dog_1_test_segment_52.mat, -1, 0 
Dog_1_test_segment_53.mat, -1, 0 
Dog_1_test_segment_54.mat, -1, 0 
Dog_1_test_segment_55.mat, -1, 0 
Dog_1_test_segment_56.mat, -1, 0 
Dog_1_test_segment_57.mat, -1, 0 
Dog_1_test_segment_58.mat, -1, 0 
Dog_1_test_segment_59.mat, -1, 0 
Dog_1_test_segment_60.mat, -1, 0 
Dog_1_test_segment_61.mat, -1, 0 
Dog_1_test_segment_62.mat, -1, 0 
Dog_1_test_segment_63.mat, -1, 0 
Dog_1_test_segment_64.mat, -1, 0 
Dog_1_test_segment_65.mat, -1, 0 
Dog_1_test_segment_66.mat, -1, 0 
Dog_1_test_segment_67.mat, -1, 0 
Dog_1_test_segment_68.mat, -1, 0 
Dog_1_test_segment_69.mat, -1, 0 
Dog_1_test_segment_70.mat, -1, 0 
Dog_1_test_segment_71.mat, -1, 0 
Dog_1_test_segment_72.mat, -1, 0 
Dog_1_test_segment_73.mat, -1, 0 
Dog_1_test_segment_74.mat, -1, 0 
Dog_1_test_segment_75.mat, -1, 0 
Dog_1_test_segment_76.mat, -1, 0 
Dog_1_test_segment_77.mat, -1, 0 
Dog_1_test_segment_78.mat, -1, 0 
Dog_1_test_segment_79.mat, -1, 0 
Dog_1_test_segment_80.mat, -1, 0 
Dog_1_test_segment_81.mat, -1, 0 
Dog_1_test_segment_82.mat, -1, 0 
Dog_1_test_segment_83.mat, -1, 0 
Dog_1_test_segment_84.mat, -1, 0 
Dog_1_test_segment_85.mat, 1, 1 
Dog_1_test_segment_86.mat, -1, 0 
Dog_1_test_segment_87.mat, -1, 0 
Dog_1_test_segment_88.mat, -1, 0 
Dog_1_test_segment_89.mat, -1, 0 
Dog_1_test_segment_90.mat, -1, 0 
Dog_1_test_segment_91.mat, -1, 0 
Dog_1_test_segment_92.mat, -1, 0 
Dog_1_test_segment_93.mat, -1, 0 
Dog_1_test_segment_94.mat, -1, 0 
Dog_1_test_segment_95.mat, -1, 0 
Dog_1_test_segment_96.mat, -1, 0 
Dog_1_test_segment_97.mat, -1, 0 
Dog_1_test_segment_98.mat, -1, 0 
Dog_1_test_segment_99.mat, -1, 0 
Dog_1_test_segment_100.mat, -1, 0 
Dog_1_test_segment_101.mat, -1, 0 
Dog_1_test_segment_102.mat, -1, 0 
Dog_1_test_segment_103.mat, -1, 0 
Dog_1_test_segment_104.mat, -1, 0 
Dog_1_test_segment_105.mat, -1, 0 
Dog_1_test_segment_106.mat, -1, 0 
Dog_1_test_segment_107.mat, -1, 0 
Dog_1_test_segment_108.mat, -1, 0 
Dog_1_test_segment_109.mat, -1, 0 
Dog_1_test_segment_110.mat, -1, 0 
Dog_1_test_segment_111.mat, -1, 0 
Dog_1_test_segment_112.mat, -1, 0 
Dog_1_test_segment_113.mat, -1, 0 
Dog_1_test_segment_114.mat, 1, 1 
Dog_1_test_segment_115.mat, -1, 0 
Dog_1_test_segment_116.mat, -1, 0 
Dog_1_test_segment_117.mat, -1, 0 
Dog_1_test_segment_118.mat, -1, 0 
Dog_1_test_segment_119.mat, -1, 0 
Dog_1_test_segment_120.mat, -1, 0 
Dog_1_test_segment_121.mat, -1, 0 
Dog_1_test_segment_122.mat, -1, 0 
Dog_1_test_segment_123.mat, -1, 0 
Dog_1_test_segment_124.mat, -1, 0 
Dog_1_test_segment_125.mat, -1, 0 
Dog_1_test_segment_126.mat, -1, 0 
Dog_1_test_segment_127.mat, -1, 0 
Dog_1_test_segment_128.mat, -1, 0 
Dog_1_test_segment_129.mat, -1, 0 
Dog_1_test_segment_130.mat, -1, 0 
Dog_1_test_segment_131.mat, -1, 0 
Dog_1_test_segment_132.mat, -1, 0 
Dog_1_test_segment_133.mat, -1, 0 
Dog_1_test_segment_134.mat, -1, 0 
Dog_1_test_segment_135.mat, -1, 0 
Dog_1_test_segment_136.mat, -1, 0 
Dog_1_test_segment_137.mat, -1, 0 
Dog_1_test_segment_138.mat, -1, 0 
Dog_1_test_segment_139.mat, 1, 0 
Dog_1_test_segment_140.mat, -1, 0 
Dog_1_test_segment_141.mat, 1, 0 
Dog_1_test_segment_142.mat, -1, 0 
Dog_1_test_segment_143.mat, -1, 0 
Dog_1_test_segment_144.mat, -1, 0 
Dog_1_test_segment_145.mat, -1, 0 
Dog_1_test_segment_146.mat, -1, 0 
Dog_1_test_segment_147.mat, -1, 0 
Dog_1_test_segment_148.mat, -1, 0 
Dog_1_test_segment_149.mat, -1, 0 
Dog_1_test_segment_150.mat, -1, 0 
Dog_1_test_segment_151.mat, -1, 0 
Dog_1_test_segment_152.mat, -1, 0 
Dog_1_test_segment_153.mat, 1, 0 
Dog_1_test_segment_154.mat, -1, 0 
Dog_1_test_segment_155.mat, -1, 0 
Dog_1_test_segment_156.mat, -1, 0 
Dog_1_test_segment_157.mat, -1, 0 
Dog_1_test_segment_158.mat, -1, 0 
Dog_1_test_segment_159.mat, -1, 0 
Dog_1_test_segment_160.mat, -1, 0 
Dog_1_test_segment_161.mat, -1, 0 
Dog_1_test_segment_162.mat, -1, 0 
Dog_1_test_segment_163.mat, -1, 0 
Dog_1_test_segment_164.mat, 1, 0 
