clip,seizure,early
Dog_1_test_segment_1.mat,0,0
Dog_1_test_segment_2.mat,0,0
Dog_1_test_segment_3.mat,0,0
Dog_1_test_segment_4.mat,0,0
Dog_1_test_segment_5.mat,0,0
Dog_1_test_segment_6.mat,0,0
Dog_1_test_segment_7.mat,0,0
Dog_1_test_segment_8.mat,0,0
Dog_1_test_segment_9.mat,0,0
Dog_1_test_segment_10.mat,0,0
Dog_1_test_segment_11.mat,0,0
Dog_1_test_segment_12.mat,0,0
Dog_1_test_segment_13.mat,0,0
Dog_1_test_segment_14.mat,0,0
Dog_1_test_segment_15.mat,0,0
Dog_1_test_segment_16.mat,0,0
Dog_1_test_segment_17.mat,0,0
Dog_1_test_segment_18.mat,0,0
Dog_1_test_segment_19.mat,0,0
Dog_1_test_segment_20.mat,0,0
Dog_1_test_segment_21.mat,0,0
Dog_1_test_segment_22.mat,0,0
Dog_1_test_segment_23.mat,0,0
Dog_1_test_segment_24.mat,0,0
Dog_1_test_segment_25.mat,0,0
Dog_1_test_segment_26.mat,0,0
Dog_1_test_segment_27.mat,0,0
Dog_1_test_segment_28.mat,0,0
Dog_1_test_segment_29.mat,0,0
Dog_1_test_segment_30.mat,0,0
Dog_1_test_segment_31.mat,0,0
Dog_1_test_segment_32.mat,0,0
Dog_1_test_segment_33.mat,0,0
Dog_1_test_segment_34.mat,0,0
Dog_1_test_segment_35.mat,0,0
Dog_1_test_segment_36.mat,0,0
Dog_1_test_segment_37.mat,0,0
Dog_1_test_segment_38.mat,0,0
Dog_1_test_segment_39.mat,0,0
Dog_1_test_segment_40.mat,0,0
Dog_1_test_segment_41.mat,0,0
Dog_1_test_segment_42.mat,0,0
Dog_1_test_segment_43.mat,0,0
Dog_1_test_segment_44.mat,0,0
Dog_1_test_segment_45.mat,0,0
Dog_1_test_segment_46.mat,0,0
Dog_1_test_segment_47.mat,0,0
Dog_1_test_segment_48.mat,0,0
Dog_1_test_segment_49.mat,0,0
Dog_1_test_segment_50.mat,0,0
Dog_1_test_segment_51.mat,0,0
Dog_1_test_segment_52.mat,0,0
Dog_1_test_segment_53.mat,0,0
Dog_1_test_segment_54.mat,0,0
Dog_1_test_segment_55.mat,0,0
Dog_1_test_segment_56.mat,0,0
Dog_1_test_segment_57.mat,0,0
Dog_1_test_segment_58.mat,0,0
Dog_1_test_segment_59.mat,0,0
Dog_1_test_segment_60.mat,0,0
Dog_1_test_segment_61.mat,0,0
Dog_1_test_segment_62.mat,0,0
Dog_1_test_segment_63.mat,0,0
Dog_1_test_segment_64.mat,0,0
Dog_1_test_segment_65.mat,0,0
Dog_1_test_segment_66.mat,0,0
Dog_1_test_segment_67.mat,0,0
Dog_1_test_segment_68.mat,0,0
Dog_1_test_segment_69.mat,0,0
Dog_1_test_segment_70.mat,0,0
Dog_1_test_segment_71.mat,0,0
Dog_1_test_segment_72.mat,0,0
Dog_1_test_segment_73.mat,0,0
Dog_1_test_segment_74.mat,0,0
Dog_1_test_segment_75.mat,0,0
Dog_1_test_segment_76.mat,0,0
Dog_1_test_segment_77.mat,0,0
Dog_1_test_segment_78.mat,0,0
Dog_1_test_segment_79.mat,0,0
Dog_1_test_segment_80.mat,0,0
Dog_1_test_segment_81.mat,0,0
Dog_1_test_segment_82.mat,0,0
Dog_1_test_segment_83.mat,0,0
Dog_1_test_segment_84.mat,0,0
Dog_1_test_segment_85.mat,0,0
Dog_1_test_segment_86.mat,0,0
Dog_1_test_segment_87.mat,0,0
Dog_1_test_segment_88.mat,0,0
Dog_1_test_segment_89.mat,0,0
Dog_1_test_segment_90.mat,0,0
Dog_1_test_segment_91.mat,0,0
Dog_1_test_segment_92.mat,0,0
Dog_1_test_segment_93.mat,0,0
Dog_1_test_segment_94.mat,0,0
Dog_1_test_segment_95.mat,0,0
Dog_1_test_segment_96.mat,0,0
Dog_1_test_segment_97.mat,0,0
Dog_1_test_segment_98.mat,0,0
Dog_1_test_segment_99.mat,0,0
Dog_1_test_segment_100.mat,0,0
